" Admissions and releases of sentenced prisoners under jurisdiction of state or federal correctional authorities, 2016 and 2017",,Admissions/a,,,,,,,Releases/b,,,,,
Jurisdiction,,2016 total,2017 total,"Percent change, 2016–2017",,2017 new court commitments,2017 conditional supervision violations/c,,2016 total,2017 total,"Percent change, 2016–2017",,"2017 unconditional/d,e","2017 conditional/e,f"
,New Jersey,"8,837","8,611",-2.6,,"6,189","2,422",,"9,685","8,959",-7.5,,"5,072","3,683"
,New Mexico/n,"3,615","3,848",:,,"2,461","1,387",,"3,631","3,631",:,,989,"2,626"
,New York,"21,081","20,421",-3.1,,"12,594","7,727",,"22,047","21,667",-1.7,,"2,330","19,042"
,North Carolina,"16,009","18,242",13.9,,"13,873","4,366",,"16,677","17,244",3.4,,"2,685","14,463"
,North Dakota/o,"1,590","1,570",:,,904,665,,"1,583","1,627",:,,216,"1,407"
,Ohio/p,"22,792","21,602",-5.2,,"16,554","4,401",,"22,850","22,299",-2.4,,"8,889","13,246"
,Oklahoma,"8,778","10,228",16.5,,"7,658","2,570",,"10,404","9,682",-6.9,,"2,973","6,623"
,Oregon/q,"5,020","5,566",:,,"3,707","1,717",,"4,712","5,428",:,,35,"5,185"
,Pennsylvania,"20,326","19,297",-5.1,,"9,116","9,128",,"20,418","19,673",-3.6,,"3,151","16,321"
,Rhode Island/h,767,572,-25.4,,482,90,,939,875,-6.8,,610,257
,South Carolina,"6,688","6,017",-10,,"4,922","1,087",,"6,709","6,847",2.1,,"2,239","4,494"
,South Dakota,"2,891","3,896",34.8,,"1,507",499,,"2,832","3,859",36.3,,311,"2,467"
,Tennessee,"12,898","11,541",-10.5,,"6,877","4,664",,"13,508","13,307",-1.5,,"5,080","8,136"
,Texas,"77,385","76,877",-0.7,,"47,697","27,474",,"76,733","77,196",0.6,,"9,977","64,519"
,Utah,"3,293","4,047",22.9,,"1,814","2,233",,"3,611","3,781",4.7,,674,"3,085"
,"Vermont/h,o","1,715","1,737",1.3,,607,"1,130",,"1,733","1,795",3.6,,284,"1,504"
,Virginia/r,"12,163","12,163",0,,"12,030",133,,"12,648","12,698",0.4,,"1,054","11,537"
,Washington/p,"25,055","25,483",1.7,,"7,385","18,089",,"24,940","25,658",2.9,,"2,217","23,393"
,West Virginia,"3,584","3,590",0.2,,"1,991","1,372",,"3,543","3,652",3.1,,849,"2,275"
,Wisconsin,"6,600","6,865",4,,"4,557","2,282",,"5,743","5,592",-2.6,,212,"5,324"
,Wyoming,997,"1,069",7.2,,820,249,,"1,041",963,-7.5,,185,770
